sample,Gp4,Gp6,uncl_Acidimicrobiales_4,Actinomyces,uncl_Actinomycetaceae_5,Georgenia,Brevibacterium,Corynebacterium,Turicella,Brachybacterium,Blastococcus,uncl_Geodermatophilaceae_5,Janibacter,Ornithinimicrobium,Phycicoccus,uncl_Intrasporangiaceae_5,uncl_Kineosporiaceae_5,Agrococcus,Curtobacterium,Leucobacter,Microbacterium,Plantibacter,Pseudoclavibacter,uncl_Microbacteriaceae_5,Arthrobacter,uncl_Micrococcaceae_5,Actinoplanes,Catenuloplanes,Mycobacterium,Rhodococcus,uncl_Nocardiaceae_5,Aeromicrobium,Nocardioides,uncl_Nocardioidaceae_5,Isoptericola,Promicromonospora,Microlunatus,Propionibacterium,Propionicicella,Tessaracoccus,uncl_Propionibacteriaceae_5,Pseudonocardia,Saccharopolyspora,uncl_Pseudonocardiaceae_5,Sanguibacter,Kitasatospora,Streptomyces,uncl_Actinomycetales_4,Asaccharobacter,Collinsella,Eggerthella,Enterorhabdus,Paraeggerthella,Slackia,uncl_Coriobacteriaceae_5,uncl_Actinobacteria_3,Barnesiella,Butyricimonas,Dysgonomonas,Odoribacter,Parabacteroides,Tannerella,uncl_Porphyromonadaceae_5,Prevotella,uncl_Prevotellaceae_5,Alistipes,Rikenella,uncl_Rikenellaceae_5,Anaerorhabdus,Bacteroides,uncl_Bacteroidales_4,Haliscomenobacter,uncl_Saprospiraceae_5,Chitinophaga,uncl_Chitinophagaceae_5,Dyadobacter,Flectobacillus,Hymenobacter,Leadbetterella,uncl_Cytophagaceae_5,Mucilaginibacter,Pedobacter,Sphingobacterium,uncl_Sphingobacteriales_4,Cryomorpha,Wandonia,uncl_Cryomorphaceae_5,Capnocytophaga,Chryseobacterium,Cloacibacterium,Flavobacterium,Mesonia,Planobacterium,Wautersiella,uncl_Flavobacteriaceae_5,uncl_Bacteroidetes_2,Sphaerobacter,uncl_Thermomicrobia_3,Mucispirillum,Deinobacterium,Deinococcus,Truepera,Meiothermus,Thermus,Fusobacterium,Leptotrichia,Sebaldella,Sneathia,Gemmatimonas,Geminicoccus,Brevundimonas,Phenylobacterium,uncl_Caulobacteraceae_5,Aurantimonas,Chelatococcus,Bosea,Bradyrhizobium,uncl_Bradyrhizobiaceae_5,Brucella,Devosia,Rhodoplanes,Methylobacterium,Microvirga,Pleomorphomonas,uncl_Methylocystaceae_5,Phyllobacterium,uncl_Phyllobacteriaceae_5,Ensifer,Kaistia,Rhizobium,uncl_Rhizobiaceae_5,uncl_Xanthobacteraceae_5,uncl_Rhizobiales_4,Amaricoccus,Paracoccus,uncl_Rhodobacteraceae_5,Acetobacter,Roseomonas,uncl_Acetobacteraceae_5,Magnetospirillum,Pelagibius,uncl_Rhodospirillaceae_5,Mitochondria_genus_incertae_sedis,Altererythrobacter,uncl_Erythrobacteraceae_5,Novosphingobium,Sphingomonas,uncl_Sphingomonadaceae_5,uncl_Alphaproteobacteria_3,Alcaligenes,Bordetella,Pigmentiphaga,Burkholderia,Cupriavidus,Pandoraea,Ralstonia,uncl_Burkholderiaceae_5,Aquabacterium,Sphaerotilus,Tepidimonas,Comamonas,Delftia,Schlegelella,uncl_Comamonadaceae_5,Massilia,uncl_Oxalobacteraceae_5,Parasutterella,uncl_Burkholderiales_4,uncl_Hydrogenophilaceae_5,Methylobacillus,uncl_Methylophilaceae_5,Aquaspirillum,Chromobacterium,Microvirgula,Neisseria,Stenoxybacter,Vitreoscilla,Vogesella,uncl_Neisseriaceae_5,Dechloromonas,Propionivibrio,Shinella,Thauera,Zoogloea,uncl_Betaproteobacteria_3,Vampirovibrio,uncl_Desulfohalobiaceae_5,Bilophila,uncl_Desulfovibrionaceae_5,uncl_Desulfovibrionales_4,Sorangium,uncl_Deltaproteobacteria_3,Arcobacter,Campylobacter,Sulfurospirillum,Cronobacter,Kluyvera,Morganella,Proteus,Raoultella,Tatumella,uncl_Enterobacteriaceae_5,Vibrio,Aeromonas,uncl_Aeromonadaceae_5,Alishewanella,Marinobacter,Shewanella,uncl_Alteromonadales_4,Gilvimarinus,uncl_Gammaproteobacteria_family_incertae_sedis_5,Legionella,Alcanivorax,Halomonas,uncl_Pasteurellaceae_5,Acinetobacter,Enhydrobacter,Psychrobacter,Cellvibrio,Pseudomonas,uncl_Pseudomonadaceae_5,Thiothrix,Luteimonas,Lysobacter,Stenotrophomonas,Xanthomonas,uncl_Gammaproteobacteria_3,uncl_Proteobacteria_2,Acholeplasma,Anaeroplasma,uncl_Mollicutes_3,Akkermansia,Chlorophyta,Streptophyta,uncl_Chloroplast_5,GpVI,uncl_Cyanobacteria_Chloroplast_2,Tumebacillus,uncl_Alicyclobacillaceae_5,Bacillus,Geobacillus,uncl_Bacillaceae_1_5,Geomicrobium,uncl_Bacillaceae_2_5,Gemella,Cohnella,Paenibacillus,Saccharibacillus,Thermobacillus,uncl_Paenibacillaceae_1_5,Aneurinibacillus,uncl_Paenibacillaceae_2_5,Lysinibacillus,Rummeliibacillus,Sporosarcina,Ureibacillus,Jeotgalicoccus,Macrococcus,Staphylococcus,uncl_Bacillales_4,Aerococcus,Globicatella,Carnobacterium,Enterococcus,Vagococcus,uncl_Enterococcaceae_5,Lactobacillus,Paralactobacillus,uncl_Lactobacillaceae_5,Leuconostoc,Weissella,Lactococcus,Streptococcus,uncl_Lactobacillales_4,uncl_Bacilli_3,Clostridium_sensu_stricto,Proteiniclasticum,uncl_Clostridiaceae_1_5,Finegoldia,Peptoniphilus,Tepidimicrobium,Tissierella,Anaerovorax,Anaerofustis,Eubacterium,Garciella,Acetitomaculum,Anaerostipes,Blautia,Clostridium_XlVa,Clostridium_XlVb,Dorea,Hespellia,Johnsonella,Lachnospiracea_incertae_sedis,Lactonifactor,Marvinbryantia,uncl_Lachnospiraceae_5,Clostridium_XI,Peptostreptococcus,uncl_Peptostreptococcaceae_5,Acetivibrio,Anaerofilum,Anaerotruncus,Butyricicoccus,Clostridium_III,Clostridium_IV,Ethanoligenens,Flavonifractor,Oscillibacter,Papillibacter,Pseudoflavonifractor,Ruminococcus,Sporobacter,uncl_Ruminococcaceae_5,uncl_Clostridiales_4,uncl_Thermoanaerobacteraceae_5,uncl_Clostridia_3,Clostridium_XVIII,Coprobacillus,Erysipelothrix,Erysipelotrichaceae_incertae_sedis,Holdemania,Sharpea,Turicibacter,uncl_Erysipelotrichaceae_5,Anaeromusa,Dialister,Megamonas,Megasphaera,Propionispora,Sporomusa,Sporotalea,Thermosinus,Veillonella,Zymophilus,uncl_Veillonellaceae_5,uncl_Selenomonadales_4,Thermolithobacter,uncl_Firmicutes_2,uncl_Bacteria_1,uncl_Mus_2,uncl_Zea_2,uncl_Root_0
m1_fecal_psg_r5_7d_biolrep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,4,1,0,0,0,0,0,0,49,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,5340,0,0,2,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,3,0,0,26,0,0,1,16,65,311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m1_fecal_psg_r6_21d_bioltechrep,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,29,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,49,1,0,0,0,0,0,0,0,0,0,0,0,0,2593,1,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,14,0,0,104,22,57,357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
m1_fecal_psg_r6_7d_bioltechrep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2431,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,2,7,20,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
m1_fecal_van_r1_7d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,486,0,1,765,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,0,70,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
m1_fecal_van_r5_21d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,1,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,716,0,0,0
m1_fecal_van_r5_7d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,998,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3242,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1793,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
m1_fecal_van_r5_7d_biolrep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,23,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,0,37,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,14,0,0,0
m1_fecal_van_r6_21d_techrep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,552,0,0,41,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,891,0,0,0
m1_fecal_van_r6_21d_bioltechrep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1956,0,0,41,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4681,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,0,21,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,10,0,0,0
m2_fecal_control_r1_7d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0,0,0,24,0,0,0,0,0,0,0,0,892,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,174,5,4,0,1,3,0,0,363,0,0,0,0,0,2,5,0,15,0,2,15,0,12,8,1,29,34,0,0,12,17,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,15,2,0,0,0
m2_fecal_control_r4_7d_biolrep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,20,6,0,318,84,0,79,6,0,0,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,5,0,0,1,2,0,0,355,0,0,0,7,3,3,12,0,4,0,1,35,2,9,0,0,31,52,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0
m2_fecal_control_r5_7d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,174,0,0,9,10,0,196,93,0,21,5,2,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,437,11,1,0,3,1,0,0,674,0,0,0,0,1,2,13,1,13,0,1,41,0,6,4,0,67,47,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0
m2_fecal_control_r6_21d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,165,0,0,0,1,0,175,10,0,5,2,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,886,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,7,1,0,0,0,2,0,0,115,0,0,0,8,2,2,1,4,4,0,0,14,0,0,2,1,15,38,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,3,0,0,0
m2_fecal_control_r6_21d_techrep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,2,2,0,160,56,1,13,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,0,0,0,1,0,0,75,0,0,0,0,0,0,0,0,6,0,2,14,0,1,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
m2_fecal_control_r6_7d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,1,0,6,8,0,386,105,2,36,3,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,94,7,1,0,2,4,0,0,274,0,0,0,0,2,0,2,0,7,0,0,18,0,0,0,0,23,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
